#DateTime               	TID	IDDD	IDDA	VDDD	VDDA	VD_RAW	VA_RAW	VD_REG	VA_REG	GND	GNDD	GNDA	NTC0	NTC1	TESTRES
Mon Jan  7 14:59:20 2019	0.108	27.300	68.000	1.492	1.504	1.495	1.494	1.219	1.210	0.000	0.000	0.005	26.156	-9.845	1013.328	
Mon Jan  7 14:59:35 2019	0.111	27.400	68.000	1.489	1.504	1.498	1.496	1.217	1.206	0.000	0.000	0.004	26.177	-9.845	1011.703	
Mon Jan  7 14:59:50 2019	0.114	27.350	68.000	1.490	1.505	1.496	1.496	1.219	1.210	0.000	0.000	0.004	26.167	-9.868	1014.551	
Mon Jan  7 15:00:05 2019	0.117	27.250	68.050	1.491	1.502	1.496	1.494	1.219	1.211	0.000	0.000	0.003	26.167	-9.868	1009.677	
Mon Jan  7 15:00:20 2019	0.121	27.450	68.100	1.491	1.504	1.498	1.502	1.219	1.210	0.000	0.000	0.004	26.187	-9.822	1008.864	
Mon Jan  7 15:00:35 2019	0.124	27.400	68.050	1.491	1.504	1.500	1.502	1.219	1.209	0.000	0.000	0.003	26.167	-9.868	1010.488	
Mon Jan  7 15:00:50 2019	0.127	27.500	68.200	1.491	1.504	1.496	1.495	1.216	1.206	0.000	0.000	0.004	26.177	-9.845	1010.891	
Mon Jan  7 15:01:05 2019	0.130	27.550	68.200	1.491	1.505	1.502	1.496	1.217	1.207	0.000	0.000	0.004	26.198	-9.845	1009.270	
Mon Jan  7 15:01:20 2019	0.134	27.600	68.250	1.489	1.504	1.496	1.501	1.219	1.211	0.000	0.000	0.004	26.198	-9.845	1015.770	
Mon Jan  7 15:01:36 2019	0.137	27.700	68.150	1.491	1.504	1.498	1.503	1.220	1.207	0.000	0.000	0.004	26.188	-9.868	1011.299	
Mon Jan  7 15:01:50 2019	0.140	27.850	68.200	1.489	1.505	1.492	1.498	1.220	1.211	0.000	0.000	0.003	26.198	-9.845	1011.703	
Mon Jan  7 15:02:05 2019	0.143	27.950	68.150	1.491	1.505	1.502	1.496	1.218	1.207	0.000	0.000	0.005	26.198	-9.845	1012.515	
Mon Jan  7 15:02:20 2019	0.147	28.200	68.200	1.490	1.504	1.494	1.492	1.218	1.211	0.000	0.000	0.003	26.188	-9.868	1010.488	
Mon Jan  7 15:02:35 2019	0.150	28.300	68.150	1.491	1.505	1.497	1.494	1.219	1.208	0.000	0.000	0.005	26.219	-9.845	1013.328	
Mon Jan  7 15:02:50 2019	0.153	28.450	68.150	1.491	1.504	1.494	1.498	1.220	1.210	0.000	0.000	0.004	26.219	-9.845	1010.081	
Mon Jan  7 15:03:05 2019	0.156	28.600	68.150	1.490	1.502	1.498	1.504	1.220	1.210	0.000	0.000	0.004	26.209	-9.868	1009.677	
Mon Jan  7 15:03:20 2019	0.160	28.850	68.150	1.491	1.506	1.491	1.495	1.218	1.209	0.000	0.000	0.005	26.240	-9.845	1014.141	
Mon Jan  7 15:03:35 2019	0.163	29.100	68.150	1.490	1.504	1.499	1.502	1.221	1.207	0.000	0.000	0.003	26.229	-9.868	1012.111	
Mon Jan  7 15:03:51 2019	0.166	29.350	68.250	1.489	1.505	1.498	1.501	1.220	1.207	0.000	0.000	0.004	26.261	-9.845	1010.081	
Mon Jan  7 15:04:06 2019	0.169	29.650	68.200	1.490	1.506	1.498	1.500	1.222	1.210	0.000	0.000	0.003	26.250	-9.868	1012.111	
Mon Jan  7 15:04:21 2019	0.173	29.900	68.250	1.490	1.502	1.495	1.498	1.222	1.208	0.000	0.000	0.003	26.250	-9.868	1011.299	
Mon Jan  7 15:04:35 2019	0.176	30.250	68.200	1.490	1.504	1.496	1.502	1.221	1.208	0.000	0.000	0.004	26.271	-9.868	1011.299	
Mon Jan  7 15:04:51 2019	0.179	30.550	68.150	1.490	1.506	1.498	1.497	1.219	1.205	0.000	0.000	0.004	26.271	-9.868	1015.366	
Mon Jan  7 15:05:05 2019	0.182	31.000	68.200	1.492	1.505	1.495	1.496	1.217	1.205	0.000	0.000	0.004	26.292	-9.868	1010.488	
Mon Jan  7 15:05:20 2019	0.186	31.450	68.150	1.490	1.504	1.499	1.502	1.220	1.210	0.000	0.000	0.004	26.313	-9.868	1011.299	
Mon Jan  7 15:05:36 2019	0.189	31.900	68.200	1.490	1.504	1.502	1.502	1.220	1.205	0.000	0.000	0.004	26.323	-9.845	1012.515	
Mon Jan  7 15:05:50 2019	0.192	32.350	68.200	1.491	1.504	1.500	1.498	1.219	1.204	0.000	0.000	0.005	26.313	-9.868	1014.551	
Mon Jan  7 15:06:05 2019	0.195	32.900	68.250	1.490	1.505	1.498	1.493	1.218	1.209	0.000	0.000	0.004	26.344	-9.845	1014.141	
Mon Jan  7 15:06:21 2019	0.199	33.500	68.300	1.489	1.504	1.499	1.502	1.220	1.207	0.000	0.000	0.004	26.375	-9.822	1010.484	
Mon Jan  7 15:06:35 2019	0.202	34.050	68.250	1.489	1.502	1.499	1.502	1.220	1.207	0.000	0.000	0.004	26.365	-9.845	1010.891	
Mon Jan  7 15:06:50 2019	0.205	34.700	68.200	1.489	1.504	1.498	1.494	1.218	1.209	0.000	0.000	0.004	26.376	-9.868	1012.111	
Mon Jan  7 15:07:05 2019	0.208	35.350	68.250	1.490	1.504	1.498	1.496	1.219	1.209	0.000	0.000	0.005	26.407	-9.845	1014.956	
Mon Jan  7 15:07:20 2019	0.212	35.900	68.350	1.489	1.504	1.500	1.498	1.218	1.206	0.000	0.000	0.005	26.428	-9.845	1013.328	
Mon Jan  7 15:07:35 2019	0.215	36.650	68.300	1.489	1.504	1.501	1.495	1.218	1.207	0.000	0.000	0.004	26.418	-9.868	1014.551	
Mon Jan  7 15:07:50 2019	0.218	37.350	68.250	1.489	1.502	1.494	1.496	1.219	1.211	0.000	0.000	0.005	26.459	-9.822	1010.484	
Mon Jan  7 15:08:05 2019	0.221	38.100	68.250	1.489	1.504	1.498	1.502	1.220	1.210	0.000	0.000	0.004	26.480	-9.822	1010.484	
Mon Jan  7 15:08:20 2019	0.225	39.000	68.350	1.490	1.505	1.496	1.492	1.218	1.207	0.000	0.000	0.004	26.491	-9.845	1014.141	
Mon Jan  7 15:08:36 2019	0.228	39.850	68.300	1.489	1.504	1.498	1.496	1.217	1.205	0.000	0.000	0.004	26.502	-9.868	1016.181	
Mon Jan  7 15:08:50 2019	0.231	40.600	68.250	1.489	1.505	1.496	1.499	1.219	1.211	0.000	0.000	0.004	26.533	-9.845	1014.141	
Mon Jan  7 15:09:06 2019	0.235	41.500	68.300	1.488	1.504	1.494	1.502	1.220	1.210	0.000	0.000	0.003	26.564	-9.822	1014.545	
Mon Jan  7 15:09:20 2019	0.238	42.350	68.300	1.488	1.502	1.496	1.499	1.219	1.211	0.000	0.000	0.004	26.575	-9.845	1016.586	
Mon Jan  7 15:09:35 2019	0.241	43.300	68.300	1.488	1.502	1.499	1.496	1.218	1.207	0.000	0.000	0.004	26.596	-9.845	1014.141	
