#DateTime               	TID	IDDD	IDDA	VDDD	VDDA	VD_RAW	VA_RAW	VD_REG	VA_REG	GND	GNDD	GNDA	NTC0	NTC1	TESTRES
Mon Jan 21 10:41:40 2019	0.001	32.500	68.450	1.490	1.508	1.498	1.501	1.211	1.216	0.000	0.000	0.005	22.274	-9.845	1015.770	
Mon Jan 21 10:41:54 2019	0.004	32.450	68.550	1.494	1.506	1.498	1.492	1.209	1.220	0.000	0.000	0.005	22.324	-9.868	1013.737	
Mon Jan 21 10:42:09 2019	0.007	32.450	68.500	1.490	1.506	1.497	1.494	1.207	1.218	0.000	0.000	0.005	22.387	-9.822	1013.732	
Mon Jan 21 10:42:24 2019	0.010	32.450	68.550	1.491	1.506	1.496	1.495	1.210	1.222	0.000	0.000	0.004	22.418	-9.800	1012.510	
Mon Jan 21 10:42:40 2019	0.014	32.400	68.600	1.490	1.506	1.501	1.492	1.206	1.220	0.000	0.000	0.005	22.397	-9.845	1013.328	
Mon Jan 21 10:42:54 2019	0.017	32.350	68.650	1.490	1.506	1.498	1.493	1.207	1.220	0.000	0.000	0.005	22.397	-9.845	1015.770	
Mon Jan 21 10:43:09 2019	0.020	32.350	68.700	1.491	1.506	1.498	1.504	1.210	1.222	0.000	0.000	0.005	22.417	-9.845	1016.586	
Mon Jan 21 10:43:25 2019	0.023	32.350	68.800	1.491	1.506	1.502	1.497	1.207	1.218	0.000	0.000	0.005	22.428	-9.822	1014.545	
Mon Jan 21 10:43:39 2019	0.026	32.350	68.750	1.491	1.506	1.502	1.498	1.207	1.217	0.000	0.000	0.004	22.427	-9.868	1016.997	
Mon Jan 21 10:43:54 2019	0.030	32.200	68.800	1.490	1.506	1.498	1.493	1.207	1.222	0.000	0.000	0.004	22.437	-9.845	1014.141	
Mon Jan 21 10:44:09 2019	0.033	32.150	68.800	1.492	1.506	1.496	1.501	1.209	1.222	0.000	0.000	0.004	22.459	-9.800	1014.949	
Mon Jan 21 10:44:24 2019	0.036	32.150	68.800	1.492	1.506	1.498	1.502	1.210	1.220	0.000	0.000	0.005	22.448	-9.822	1015.360	
Mon Jan 21 10:44:40 2019	0.039	32.250	68.850	1.490	1.505	1.498	1.493	1.207	1.222	0.000	0.000	0.005	22.448	-9.822	1013.732	
Mon Jan 21 10:44:54 2019	0.043	32.050	68.900	1.492	1.506	1.498	1.500	1.210	1.223	0.000	0.000	0.004	22.458	-9.845	1014.956	
